AMD Radeon HD 7970  2280
NVIDIA GeForce GTX 970M  2279
NVIDIA GeForce MX450 30.5W 10Gbps  2192
NVIDIA GeForce GTX 1050 Max-Q  2161
NVIDIA GeForce GTX 770  2146
NVIDIA GeForce GTX 1050 (Notebook)  2091
NVIDIA GeForce GTX 680  2037
AMD Radeon R9 280  2032
AMD Radeon HD 7950  1923
NVIDIA GeForce GTX 950  1905
AMD Radeon RX 560X (Laptop)  1848
NVIDIA GeForce GTX 670  1841
AMD Radeon RX 560  1840
NVIDIA GeForce GTX 965M  1808
AMD Radeon R9 270X  1772
AMD Radeon RX 460  1748
NVIDIA GeForce GTX 1050  1743
NVIDIA GeForce GTX 760  1675
AMD Radeon HD 7870  1667
NVIDIA GeForce GTX 660 Ti  1629
AMD Radeon R9 270  1603
AMD Radeon R7 260X  1505
AMD Radeon R7 370  1493
AMD Radeon Vega 8 (Cezanne)  1424
AMD Radeon RX Vega 8 (Ryzen 4000)  1423
Intel Iris Xe Graphics G7 96EU  1359
AMD Radeon HD 7850  1329
NVIDIA GeForce GTX 660  1320
AMD Radeon RX Vega 7 (Ryzen 4000)  1297
NVIDIA GeForce GTX 750 Ti  1280
NVIDIA GeForce GTX 960M  1234
AMD Radeon RX Vega 11 Mobile  1207
AMD Radeon RX 550  1191
NVIDIA GeForce GTX 860M  1157
NVIDIA GeForce GTX 650 Ti Boost  1111
NVIDIA GeForce GT 1030  1089
AMD Radeon RX Vega 7 (Ryzen 4000 Mobile)  1084
NVIDIA GeForce GTX 750  1063
NVIDIA GeForce MX250 (25W)  1050
NVIDIA GeForce 950M  986
NVIDIA GeForce MX150  980
NVIDIA GeForce GTX 850M  979
AMD Radeon Vega 6 Mobile  946
AMD Radeon RX Vega 5 (Ryzen 4000 Mobile)  906
NVIDIA GeForce GTX 650 Ti  887
AMD Radeon Vega 6  852
AMD Radeon Vega 10 Mobile  823
Intel UHD Graphics 770 (12th gen desktop)  806
Intel Iris Pro Graphics 10th Gen Mobile  734
Intel UHD Graphics 750 (11th gen desktop)  657
NVIDIA GeForce GTX 745  655
NVIDIA GeForce GT 1030 (DDR4)  640
NVIDIA GeForce MX130  632
NVIDIA GeForce 940MX  601
NVIDIA GeForce GTX 650  546
NVIDIA GeForce 940M  510
NVIDIA GeForce 840M  506
Intel UHD Graphics 630  442
AMD Radeon Vega 3  412
Intel HD Graphics 630 Mobile  396
Intel HD Graphics 630  395
Intel HD Graphics 530  390
Intel UHD Graphics 10th Gen Mobile  364
Intel UHD Graphics 620  361
Intel HD Graphics 620  337
Intel Iris Graphics 520  320
NVIDIA GeForce GT 730  297
Intel HD Graphics 5500  236
Intel HD Graphics 4600  195
NVIDIA GeForce GT 710  194
